,First Slot 8:15-9:45,Second Slot 10:00-11:30,Third Slot 11:45-1:15,Fourth Slot 1:45-3:15,Fifth Slot 3:45-5:15
Saturday,Free,Free,Free,Free,Free
Sunday,Free,10MET T017  B4.211  HUMA 1001 Tut,Free,10MET P020  D3.306  CSEN 1002 Lab      10MET P021  C7.203  CSEN 1002 Lab      10MET P022  C7.217  CSEN 1002 Lab      10MET T024  D4.106  CSEN 1001 Tut      10MET T017  D4.108  CSEN 1001 Tut      10MET T016  D4.110  CSEN 1003 Tut      10MET-EL T016  C3.306  NETW 1009 Tut,10MET P020  D3.306  CSEN 1002 Lab      10MET P021  C7.203  CSEN 1002 Lab      10MET P022  C7.217  CSEN 1002 Lab      10MET T016  D4.101  CSEN 1001 Tut      10MET T019  D4.105  CSEN 1001 Tut      10MET T017  D4.106  CSEN 1003 Tut      10MET T024  D4.108  CSEN 1003 Tut
Monday,10MET P023  C7.203  CSEN 1002 Lab      10MET T026  D4.105  CSEN 1001 Tut,10MET P023  C7.203  CSEN 1002 Lab      10MET T026  D4.105  CSEN 1003 Tut,10MET T022  D4.101  CSEN 1003 Tut,10MET T022  D4.101  CSEN 1001 Tut,Free
Tuesday,10MET P016  C7.201  CSEN 1002 Lab      10MET T019  B4.211  HUMA 1001 Tut      10MET T020  B4.212  HUMA 1001 Tut,10MET P016  C7.201  CSEN 1002 Lab      10MET T019  C5.101  CSEN 1003 Tut      10MET T018  D4.101  CSEN 1001 Tut      10MET T022  B4.211  HUMA 1001 Tut      10MET T021  D4.105  CSEN 1001 Tut      10MET T023  D4.106  CSEN 1001 Tut,Free,10MET L002  H13  CSEN 1003 Lecture,10MET T024  B4.213  HUMA 1001 Tut
Wednesday,Free,10MET L002  H4  CSEN 1001 Lecture,10MET L002  H19  HUMA 1001 Lecture,10MET P017  C7.217  CSEN 1002 Lab      10MET P018  C7.201  CSEN 1002 Lab      10MET P019  C7.203  CSEN 1002 Lab      10MET T020  D4.101  CSEN 1001 Tut      10MET T021  C5.101  CSEN 1003 Tut      10MET T023  C5.102  CSEN 1003 Tut      10MET T025  B4.211  HUMA 1001 Tut,10MET P017  C7.217  CSEN 1002 Lab      10MET P018  C7.201  CSEN 1002 Lab      10MET P019  C7.203  CSEN 1002 Lab      10MET T020  D4.101  CSEN 1003 Tut      10MET T021  B4.211  HUMA 1001 Tut      10MET T023  B4.212  HUMA 1001 Tut      10MET T025  C5.101  CSEN 1003 Tut
Thursday,10MET P025  C6.209  CSEN 1002 Lab      10MET P026  C7.201  CSEN 1002 Lab,10MET P025  C6.209  CSEN 1002 Lab      10MET P026  C7.201  CSEN 1002 Lab      10MET-EL L002  H16  NETW 1009 Lecture,Free,10MET P024  C7.217  CSEN 1002 Lab      10MET T025  D4.105  CSEN 1001 Tut      10MET T018  B4.211  HUMA 1001 Tut      10MET T026  B4.212  HUMA 1001 Tut,10MET P024  C7.217  CSEN 1002 Lab      10MET T018  C5.101  CSEN 1003 Tut      10MET T016  B4.212  HUMA 1001 Tut
