,First Slot 8:15-9:45,Second Slot 10:00-11:30,Third Slot 11:45-1:15,Fourth Slot 1:45-3:15,Fifth Slot 3:45-5:15
Saturday,Free,Free,Free,Free,Free
Sunday,10MET P008  C7.217  CSEN 1002 Lab      10MET P006  C7.203  CSEN 1002 Lab      10MET P015  C7.220  CSEN 1002 Lab      10MET T009  D4.101  CSEN 1003 Tut      10MET T012  B4.211  HUMA 1001 Tut      10MET T010  B4.212  HUMA 1001 Tut      10MET T007  B4.213  HUMA 1001 Tut      10MET-EL T001  C3.306  NETW 1009 Tut      10MET-EL T009  B2.111  DMET 1001 Tut,10MET P008  C7.217  CSEN 1002 Lab      10MET P006  C7.203  CSEN 1002 Lab      10MET P015  C7.220  CSEN 1002 Lab      10MET-EL P001  C7.201  ELCT 1018 Lab      10MET-EL T003  C5.311  MCTR 1024 Tut      10MET-EL T002  C3.306  NETW 1009 Tut      10MET-EL T010  B2.111  DMET 1001 Tut      10MET T013  D4.106  CSEN 1001 Tut      10MET T009  D4.105  CSEN 1001 Tut      10MET T012  C5.101  CSEN 1003 Tut,10MET-EL T003  C3.306  NETW 1009 Tut      10MET-EL T011  C5.308  DMET 1001 Tut      10MET-EL T001  C5.311  DMET 1067 Tut      10MET-EL L001  H18  NETW 1009 Lecture      10MET-EL L001  H18  ELCT 1018 Lecture,10MET-EL P002  C7.201  ELCT 1018 Lab      10MET-EL T012  C5.304  DMET 1001 Tut      10MET-EL L001  H10  DMET 1067 Lecture,10MET-EL T004  C3.306  NETW 1009 Tut      10MET-EL T013  C5.301  DMET 1001 Tut      10MET-EL T002  C5.108  DMET 1067 Tut
Monday,10MET P013  C7.201  CSEN 1002 Lab      10MET T006  D4.101  CSEN 1003 Tut      10MET-EL T008  C3.306  NETW 1009 Tut      10MET-EL T001  C6.204  DMET 1001 Tut      10MET-EL L001  C4.101  DMET 1075 Lecture,10MET P013  C7.201  CSEN 1002 Lab      10MET T006  D4.101  CSEN 1001 Tut      10MET-EL T005  C3.306  NETW 1009 Tut      10MET-EL T002  C6.204  DMET 1001 Tut      10MET-EL T002  C7.305  CSEN 1076 Tut      10MET-EL L001  C4.101  DMET 1075 Lecture,10MET-EL T006  C3.306  NETW 1009 Tut      10MET-EL T003  C5.312  DMET 1001 Tut      10MET-EL L001  H16  CSEN 1076 Lecture      10MET-EL L001  C6.104  DMET 1042 Lecture,10MET-EL T007  C3.306  NETW 1009 Tut      10MET-EL T004  C5.305  DMET 1001 Tut      10MET-EL T001  C7.305  CSEN 1076 Tut      10MET-EL L001  C6.104  DMET 1042 Lecture      10MET-EL L001  H17  MCTR 1024 Lecture,10MET-Seminar L001  C5.101  CSEN 1135 Lecture      10MET-Seminar L001  C5.102  CSEN 1142 Lecture      10MET-Seminar L001  C5.104  DMET 1076 Lecture      10MET-Seminar L001  C5.106  CSEN 1126 Lecture      10MET-Seminar L001  C5.105  CSEN 1118 Lecture
Tuesday,10MET-EL T009  C3.306  NETW 1009 Tut      10MET-EL T005  C5.301  DMET 1001 Tut,10MET L001  H13  CSEN 1003 Lecture,10MET-Seminar L002  C5.206  DMET 1076 Lecture      10MET-Seminar L002  C5.208  CSEN 1126 Lecture      10MET-Seminar L002  C5.212  CSEN 1118 Lecture      10MET-Seminar L001  C5.301  CSEN 1088 Lecture      10MET-Seminar L001  C5.302  CSEN 1127 Lecture      10MET-Seminar L001  C5.304  CSEN 1141 Lecture      10MET-Seminar L001  C5.305  CSEN 1139 Lecture      10MET-Seminar L001  C5.308  CSEN 1008 Lecture      10MET-Seminar L001  C5.311  DMET 1057 Lecture      10MET-Seminar L001  C5.312  CSEN 1034 Lecture      10MET-Seminar L001  C6.204  DMET 1061 Lecture,10MET P009  C7.217  CSEN 1002 Lab      10MET P010  C7.201  CSEN 1002 Lab      10MET P014  C7.203  CSEN 1002 Lab      10MET T008  D4.101  CSEN 1001 Tut      10MET T011  D4.110  CSEN 1001 Tut      10MET T006  B4.211  HUMA 1001 Tut      10MET T005  D4.105  CSEN 1003 Tut      10MET T013  C5.101  CSEN 1003 Tut      10MET T015  D4.108  CSEN 1003 Tut,10MET P009  C7.217  CSEN 1002 Lab      10MET P010  C7.201  CSEN 1002 Lab      10MET P014  C7.203  CSEN 1002 Lab      10MET T012  D4.101  CSEN 1001 Tut      10MET T005  D4.105  CSEN 1001 Tut      10MET T011  D4.106  CSEN 1003 Tut      10MET T013  B4.212  HUMA 1001 Tut      10MET-EL T010  C3.306  NETW 1009 Tut      10MET-EL T006  C5.301  DMET 1001 Tut
Wednesday,10MET-Seminar L002  C5.308  CSEN 1088 Lecture      10MET-Seminar L002  C5.311  CSEN 1127 Lecture      10MET-Seminar L001  C6.204  CSEN 1134 Lecture      10MET-Seminar L002  C2.312  DMET 1057 Lecture      10MET-Seminar L002  C2.311  CSEN 1034 Lecture      10MET-Seminar L001  C2.309  CSEN 1140 Lecture      10MET-Seminar L001  C2.308  DMET 1077 Lecture      10MET-Seminar L001  C2.306  CSEN 1143 Lecture,10MET P011  C7.203  CSEN 1002 Lab      10MET P012  C7.201  CSEN 1002 Lab      10MET T015  C5.101  CSEN 1001 Tut      10MET T008  C5.102  CSEN 1003 Tut      10MET T010  D4.106  CSEN 1003 Tut      10MET T007  D4.108  CSEN 1001 Tut      10MET T009  B4.211  HUMA 1001 Tut,10MET P011  C7.203  CSEN 1002 Lab      10MET P012  C7.201  CSEN 1002 Lab      10MET T010  D4.101  CSEN 1001 Tut      10MET T015  B4.211  HUMA 1001 Tut      10MET T007  D4.105  CSEN 1003 Tut      10MET T014  D4.108  CSEN 1003 Tut      10MET T008  B4.212  HUMA 1001 Tut,10MET L001  H19  HUMA 1001 Lecture      10MET-EL L001  C3.110  CSEN 1038 Lecture,10MET-EL P001  C7.303  CSEN 1038 Lab      10MET L001  H19  CSEN 1001 Lecture
Thursday,10MET-EL T015  C3.306  NETW 1009 Tut      10MET-EL L002  H16  DMET 1001 Lecture,10MET T005  B4.211  HUMA 1001 Tut      10MET-EL T014  C5.301  DMET 1001 Tut,10MET T011  B4.211  HUMA 1001 Tut      10MET-EL T011  C4.206  NETW 1009 Tut      10MET-EL T012  C3.306  NETW 1009 Tut      10MET-EL L001  H16  DMET 1001 Lecture,10MET P007  C7.201  CSEN 1002 Lab      10MET P005  C7.203  CSEN 1002 Lab      10MET T014  C5.101  CSEN 1001 Tut      10MET-EL T013  C3.306  NETW 1009 Tut      10MET-EL T007  C5.304  DMET 1001 Tut      10MET-EL L001  C6.203  DMET 1072 Lecture      10MET-EL L001  C6.204  CSEN 907 Lecture,10MET P007  C7.201  CSEN 1002 Lab      10MET P005  C7.203  CSEN 1002 Lab      10MET T014  B4.211  HUMA 1001 Tut      10MET-EL T014  C3.306  NETW 1009 Tut      10MET-EL T008  C5.304  DMET 1001 Tut      10MET-EL L001  C6.203  DMET 1072 Lecture      10MET-EL L001  C6.204  CSEN 907 Lecture
