,First Slot 8:15-9:45,Second Slot 10:00-11:30,Third Slot 11:45-1:15,Fourth Slot 1:45-3:15,Fifth Slot 3:45-5:15
Saturday,free,free,free,free,free
Sunday,free,free,free,T016 C3.306 Cloud Computing Tut,free
Monday,free,free,free,free,free
Tuesday,free,free,free,free,free
Wednesday,free,free,free,free,free
Thursday,free,L002 H16 Cloud Computing Lecture,free,free,free
